Particle,T_g,n_H,H2_abun,C_abun,FUV,x,delta_x,delta_h2_col,delta_c_col,delta_col_dens,total_h2_col,total_c_col,total_col_dens,size
781,16.8962,22895.8,0.49996999999999997,8.6777e-09,9.999839999999999,2.2102083e+19,1.5900779000000102e+17,1.8201960608242632e+21,31592126241603.918,3.6406105582820236e+21,7.253951845813653e+23,3.555543239824702e+17,1.4508832967867146e+24,5.390364127999992e+19
796,16.4087,44733.3,0.499982,3.87356e-09,9.999839999999999,2.448719987e+19,1.5900779000000102e+17,3.5563435532264197e+21,27552412154909.04,7.112943172407046e+21,7.662011995763582e+23,3.5599341046171526e+17,1.5324988635798786e+24,5.628875814999989e+19
811,14.7024,67936.9,0.499986,2.3124800000000003e-09,9.999839999999999,2.687231674e+19,1.5900778999999693e+17,5.401096929276797e+21,24980556709615.887,1.080249632845079e+22,8.344242750684758e+23,3.563832179618156e+17,1.668949253030035e+24,5.8673875019999855e+19
826,13.8417,87448.4,0.499988,1.70961e-09,9.999839999999999,2.925743361e+19,1.5900778999999693e+17,6.952321551795989e+21,23772087426430.117,1.390497682303573e+22,9.28450338091447e+23,3.5674750837012717e+17,1.8570061776976023e+24,6.105899188999982e+19
841,13.4608,99014.7,0.499989,1.4712e-09,9.999839999999999,3.035458737e+19,1.5900769999998976e+16,7.871876671497648e+20,2316271949804.364,1.5744099713188986e+21,9.787451707335853e+23,3.5691005607618144e+17,1.9575982446902864e+24,6.215614564999982e+19
856,13.4304,100114.0,0.499989,1.4529900000000002e-09,9.999839999999999,3.059309906e+19,1.5900779999997952e+16,7.959278336623194e+20,2313001252093.573,1.591890688919795e+21,9.907320354818591e+23,3.5694473352353824e+17,1.981572501620486e+24,6.239465733999985e+19
871,13.7427,90507.8,0.499988,1.6443099999999999e-09,9.999839999999999,3.083161075e+19,1.5900780000002048e+16,7.195550383066997e+20,2366399883673.3867,1.4391446160841853e+21,1.0021595502279553e+24,3.569797642114268e+17,2.0044280608092305e+24,6.263316902999987e+19
886,14.512,72289.0,0.499987,2.1539499999999996e-09,9.999839999999999,3.107012244e+19,1.5900779999997952e+16,5.747107998406155e+20,2475861027020.09,1.149451485419852e+21,1.0118624218184078e+24,3.5701595097378624e+17,2.0238342893439623e+24,6.287168071999989e+19
901,16.0812,49429.5,0.499983,3.43258e-09,9.999839999999999,3.130863412e+19,1.5900779999997952e+16,3.929704410556642e+20,2697896681604.8784,7.859676050098988e+20,1.019051304654068e+24,3.57054502063667e+17,2.038212488935296e+24,6.311019239999991e+19
916,16.8962,26912.3,0.499974,7.13522e-09,9.999839999999999,3.154714581e+19,1.5900779999997952e+16,2.13952154706371e+20,3053350160816.347,4.279265615939449e+20,1.0234848875422618e+24,3.5709767815115334e+17,2.0470800165041288e+24,6.334870408999993e+19
931,14.9462,9645.97,0.499933,2.57803e-08,9.999839999999999,3.165686119e+19,1590080000000000.0,7.667904351913501e+18,395414734701.72125,1.5337863977599998e+19,1.0246455896091416e+24,3.571200561135974e+17,2.0494015690532165e+24,6.345841946999994e+19
946,10.7471,1394.26,0.498776,6.55791e-05,9.999839999999999,3.168071235e+19,1590070000001024.0,1.1057719265989153e+18,145386962788151.25,2.2169709982014277e+18,1.0246979025146388e+24,3.576528107526121e+17,2.049506230913656e+24,6.3482270629999935e+19
961,14.9462,3955.96,0.49984300000000004,2.47341e-07,9.999839999999999,3.170456352e+19,1590070000001024.0,3.144139088831225e+18,1555837545730.5674,6.290253317204051e+18,1.0247199159618552e+24,3.591599325118423e+17,2.0495503545950447e+24,6.350612179999993e+19
976,16.8962,16772.6,0.499961,1.2753000000000002e-08,9.999839999999999,3.172841469e+19,1590080000000000.0,1.3333847782743486e+19,340119650879.424,2.6669775807999996e+19,1.0248394650072755e+24,3.591669411835062e+17,2.049789483069192e+24,6.3529972969999925e+19
991,16.8962,37050.4,0.49998000000000004,4.8761899999999995e-09,9.999839999999999,3.175226586e+19,1590080000000000.0,2.945537175399936e+19,287271469245.038,5.8913100032e+19,1.0251630320635119e+24,3.5917155197015123e+17,2.050436650816892e+24,6.355382413999992e+19
1006,14.9462,60369.1,0.499985,2.66099e-09,9.999839999999999,3.177611703e+19,1590080000000000.0,4.799440938852208e+19,255432949866.0227,9.5991698528e+19,1.0257526593597999e+24,3.59175598596547e+17,2.0516159453632847e+24,6.357767530999992e+19
1021,14.0854,81645.4,0.499987,1.8571300000000002e-09,9.999839999999999,3.178708857e+19,159009999998976.0,6.491048755302496e+18,24110069611.679756,1.2982435053916393e+19,1.0261206064285968e+24,3.591773310843111e+17,2.0523518603090606e+24,6.358864684999991e+19
1036,13.5599,96241.4,0.499988,1.5265699999999998e-09,9.999839999999999,3.178947368e+19,159000000000000.0,7.6510076714088e+18,23360158205.681995,1.53023826e+19,1.0262281064971e+24,3.591776856220672e+17,2.0525668656061938e+24,6.359103195999992e+19
1051,13.4075,100975.0,0.499989,1.43903e-09,9.999839999999999,3.17918588e+19,159009999998976.0,8.027840758566053e+18,23105115686.143707,1.6056034749896602e+19,1.0263469580466385e+24,3.5917803311988346e+17,2.0528045739656667e+24,6.359341707999989e+19
1066,13.5979,94815.3,0.499988,1.55252e-09,9.999839999999999,3.179424392e+19,159009999998976.0,7.53810950748122e+18,23406693305.748825,1.507658085290291e+19,1.0264645102484263e+24,3.5917838145453395e+17,2.0530396836636126e+24,6.359580219999986e+19
1081,14.1921,79104.2,0.499987,1.9251300000000004e-09,9.999839999999999,3.179662903e+19,159000000000000.0,6.2886203916186e+18,24213453098.814003,1.25775678e+19,1.0265683955046381e+24,3.5917873832685664e+17,2.0532474592393358e+24,6.3598187309999866e+19
1096,14.9462,57266.7,0.49998400000000004,2.82786e-09,9.999839999999999,3.179901415e+19,159010000003072.0,4.5528432879404867e+18,25750430854.258106,9.105977967175923e+18,1.0266492265558308e+24,3.591791140187198e+17,2.0534091258632176e+24,6.360057242999986e+19
1111,16.8962,34063.1,0.499978,5.3855799999999995e-09,9.999839999999999,3.180011131e+19,15910000001024.0,2.7096003775117754e+17,2918682342.247032,5.419439210348806e+17,1.026676799385876e+24,3.591792991862217e+17,2.0534642733732924e+24,6.3601669589999845e+19
1126,16.8962,14551.6,0.49995600000000007,1.5277000000000002e-08,9.999839999999999,3.180034982e+19,15900000002048.0,1.1567503971553955e+17,3534646212.335281,2.313704400298017e+17,1.0266795604208519e+24,3.5917934701036794e+17,2.0534697957700185e+24,6.360190809999986e+19
1141,14.9462,2985.32,0.499795,3.49082e-06,9.999839999999999,3.180058833e+19,15899999997952.0,2.372356334640429e+16,165697314700.81735,4.746658799388606e+16,1.0266804650652225e+24,3.5917962877284486e+17,2.0534716053597554e+24,6.360214660999984e+19
1156,10.7471,1885.64,0.499521,3.9891599999999996e-05,9.999839999999999,3.180082684e+19,15899999997952.0,1.4976476775266954e+16,1196017026167.5469,2.9981675996138212e+16,1.0266806414939204e+24,3.5919849635717414e+17,2.0534719592470802e+24,6.360238511999984e+19
1171,16.8962,11492.2,0.499945,2.08376e-08,9.999839999999999,3.180106535e+19,15900000002048.0,9.135294008286672e+16,3807570881.338434,1.8272598002353603e+17,1.0266813776457779e+24,3.591998170160317e+17,2.053473431850976e+24,6.360262362999984e+19
1186,16.8962,29711.0,0.49997600000000003,6.33691e-09,9.999839999999999,3.180130386e+19,15899999997952.0,2.361911122519774e+17,2993587334.473411,4.724048999391519e+17,1.0266838384250082e+24,3.591998662502564e+17,2.0534783537299928e+24,6.360286213999983e+19
1201,15.8007,52570.5,0.49998400000000004,3.17353e-09,9.999839999999999,3.180141358e+19,1590000001024.0,4.179221013339524e+16,265266153.76618806,8.35870950538322e+16,1.026685831122113e+24,3.591998861650726e+17,2.0534823392898066e+24,6.3602971859999834e+19
1216,14.3749,75087.7,0.499987,2.05272e-09,9.999839999999999,3.180143743e+19,1590000001024.0,5.9693169475684904e+16,245073097.59279323,1.1938944307688981e+17,1.0266866040952543e+24,3.591998899555092e+17,2.0534838852805146e+24,6.360299570999982e+19
1231,13.6817,92354.0,0.499988,1.5993800000000003e-09,9.999839999999999,3.180146128e+19,1590000001024.0,7.341966793296411e+16,234857533.57805422,1.468428600945705e+17,1.0266876166571332e+24,3.591998935435113e+17,2.0534859104541334e+24,6.36030195599998e+19
1246,13.4228,100606.0,0.499989,1.4449899999999998e-09,9.999839999999999,3.180148513e+19,1590000001024.0,7.998001045256914e+16,231145715.81346363,1.5996354010302054e+17,1.0266887806517296e+24,3.591998970334052e+17,2.0534882384963584e+24,6.360304340999978e+19
1261,13.4989,98044.0,0.499989,1.49492e-09,9.999839999999999,3.180150898e+19,1589999996928.0,7.794326505984773e+16,233043018.55294332,1.5588995969880883e+17,1.0266899749130127e+24,3.591999005037504e+17,2.0534906270714725e+24,6.3603067259999764e+19
1276,13.9407,85227.4,0.499988,1.76023e-09,9.999839999999999,3.180153284e+19,1590000001024.0,6.775415690484338e+16,238531523.9738003,1.3551156608727285e+17,1.0266910721101509e+24,3.5919990403750394e+17,2.0534928215181057e+24,6.3603091119999754e+19
